filename,sample_time,r,mae,mdae
random_1,0,1,0.22592592592592597,0.05
random_1,0,2,0.17094017094017094,0.09743589743589744
random_1,0,3,0.06703703703703696,0.025
random_1,0,4,0.05361336946702793,0.030487804878048697
random_1,0,5,0.043746205221615056,0.046994535519125746
random_1,100,1,0.1729,0.10788333333333333
random_1,100,2,0.1682435897435898,0.03141666666666665
random_1,100,3,0.1486074074074074,0.0137
random_1,100,4,0.15235790424570908,0.024400813008130094
random_1,100,5,0.14456842744383722,0.0137
random_1,200,1,0.4655722222222222,0.06813333333333334
random_1,200,2,0.5120645299145299,0.0303
random_1,200,3,0.4414092592592593,0.0303
random_1,200,4,0.45369471544715456,0.0303
random_1,200,5,0.4520953551912569,0.0303
random_1,300,1,0.1857296296296296,0.07216666666666666
random_1,300,2,0.12796951566951567,0.0523
random_1,300,3,0.11025925925925922,0.0345
random_1,300,4,0.08807886178861787,0.026638211382113808
random_1,300,5,0.08367874924104429,0.02952377049180327
random_1,400,1,0.27906851851851855,0.0486
random_1,400,2,0.2610075498575498,0.036674358974359056
random_1,400,3,0.2707203703703704,0.03225
random_1,400,4,0.25309209575429087,0.02485
random_1,400,5,0.2523812689738919,0.01055
random_1,500,1,0.661488888888889,0.0027
random_1,500,2,0.46091908831908834,0.0027
random_1,500,3,0.38889629629629624,0.0027
random_1,500,4,0.39054769647696486,0.013560162601626017
random_1,500,5,0.3774270188221008,0.019157923497267755
random_1,600,1,0.11122592592592591,0.00435
random_1,600,2,0.06996182336182342,0.00435
random_1,600,3,0.15178518518518525,0.00435
random_1,600,4,0.15133432700993682,0.00435
random_1,600,5,0.1287170613236187,0.006578961748633877
random_2,0,1,0.22592592592592597,0.05
random_2,0,2,0.17094017094017094,0.09743589743589744
random_2,0,3,0.06703703703703696,0.025
random_2,0,4,0.05361336946702793,0.030487804878048697
random_2,0,5,0.043746205221615056,0.046994535519125746
random_2,100,1,0.27444814814814816,0.0547
random_2,100,2,0.2584139601139601,0.0547
random_2,100,3,0.2657074074074074,0.02803333333333333
random_2,100,4,0.24951951219512195,0.038039024390243883
random_2,100,5,0.2506472981177899,0.02191311475409837
random_2,200,1,0.6088925925925925,0.0481
random_2,200,2,0.5412236467236466,0.0275
random_2,200,3,0.5155814814814814,0.0275
random_2,200,4,0.5159361336946702,0.036980487804878046
random_2,200,5,0.49576642380085,0.02624207650273224
random_2,300,1,0.15581111111111107,0.06768333333333333
random_2,300,2,0.15011310541310544,0.08819615384615385
random_2,300,3,0.17102592592592594,0.041016666666666673
random_2,300,4,0.222503613369467,0.031910975609756115
random_2,300,5,0.2509663023679418,0.013792076502732245
random_2,400,1,0.3596574074074075,0.060383333333333344
random_2,400,2,0.37586851851851855,0.03555
random_2,400,3,0.3936462962962963,0.11953333333333327
random_2,400,4,0.4029687895212286,0.06436097560975612
random_2,400,5,0.3902585003035823,0.054231693989071024
random_2,500,1,0.1612462962962963,0.13915
random_2,500,2,0.10094031339031344,0.02199743589743619
random_2,500,3,0.12249074074074073,0.02723333333333322
random_2,500,4,0.1381999548328817,0.033254471544715614
random_2,500,5,0.13936961141469337,0.04777978142076478
random_2,600,1,0.19791111111111107,0.005
random_2,600,2,0.2171461538461539,0.005
random_2,600,3,0.2245777777777777,0.005
random_2,600,4,0.20949241192411927,0.005
random_2,600,5,0.20205834851244694,0.005
random_3,0,1,0.22592592592592597,0.05
random_3,0,2,0.17094017094017094,0.09743589743589744
random_3,0,3,0.06703703703703696,0.025
random_3,0,4,0.05361336946702793,0.030487804878048697
random_3,0,5,0.043746205221615056,0.046994535519125746
random_3,100,1,0.1468740740740741,0.0498
random_3,100,2,0.15290142450142444,0.0257
random_3,100,3,0.10676666666666669,0.0257
random_3,100,4,0.09089159891598915,0.02450162601626013
random_3,100,5,0.10922987249544637,0.017881420765027356
random_3,200,1,0.13585185185185192,0.02315
random_3,200,2,0.2500814814814814,0.064
random_3,200,3,0.17304444444444453,0.060700000000000004
random_3,200,4,0.1880909665763323,0.029480487804878056
random_3,200,5,0.18348548876745607,0.02315
random_3,300,1,0.3528296296296296,0.0469
random_3,300,2,0.3526723646723647,0.20225
random_3,300,3,0.34651851851851856,0.16246666666666665
random_3,300,4,0.3547570009033423,0.13840162601626016
random_3,300,5,0.34814899817850636,0.1288054644808743
random_3,400,1,0.33695740740740737,0.0437
random_3,400,2,0.32040868945868944,0.0437
random_3,400,3,0.309787037037037,0.04338333333333333
random_3,400,4,0.2936312104787714,0.03084593495934962
random_3,400,5,0.308588190649666,0.02855
random_3,500,1,0.3747388888888889,0.19896666666666668
random_3,500,2,0.25622037037037043,0.13742820512820514
random_3,500,3,0.22362777777777781,0.1031833333333334
random_3,500,4,0.22189336043360436,0.08041910569105681
random_3,500,5,0.19914690346083788,0.06602486338797808
random_3,600,1,0.34725000000000006,0.1366
random_3,600,2,0.2975747863247864,0.08773589743589742
random_3,600,3,0.26007222222222226,0.1366
random_3,600,4,0.2566756549232159,0.12033983739837398
random_3,600,5,0.22063081360048575,0.12567103825136614
random_4,0,1,0.22592592592592597,0.05
random_4,0,2,0.17094017094017094,0.09743589743589744
random_4,0,3,0.06703703703703696,0.025
random_4,0,4,0.05361336946702793,0.030487804878048697
random_4,0,5,0.043746205221615056,0.046994535519125746
random_4,100,1,0.08050925925925928,0.02675
random_4,100,2,0.07863717948717941,0.04283333333333339
random_4,100,3,0.1160648148148148,0.0501
random_4,100,4,0.09098803071364045,0.0501
random_4,100,5,0.07260944140862177,0.028242076502732246
random_4,200,1,0.5672351851851852,0.0485
random_4,200,2,0.5683747863247864,0.02085
random_4,200,3,0.5803796296296295,0.01121666666666666
random_4,200,4,0.5759713188798554,0.01576951219512194
random_4,200,5,0.5691592289010322,0.03379480874316938
random_4,300,1,0.22554814814814816,0.11121666666666666
random_4,300,2,0.20845413105413105,0.05725
random_4,300,3,0.2225851851851852,0.05725
random_4,300,4,0.2273548328816621,0.04098983739837399
random_4,300,5,0.21947650273224042,0.03539207650273225
random_4,400,1,0.34804814814814816,0.0287
random_4,400,2,0.26565726495726494,0.016710256410256447
random_4,400,3,0.24218148148148147,0.016933333333333356
random_4,400,4,0.24731246612466126,0.0287
random_4,400,5,0.2647451730418944,0.0287
random_4,500,1,0.3144944444444445,0.03376666666666667
random_4,500,2,0.29559472934472936,0.027771794871794847
random_4,500,3,0.3106796296296297,0.035
random_4,500,4,0.3354673441734418,0.06621951219512195
random_4,500,5,0.33511193078324225,0.04942622950819674
random_4,600,1,0.5633407407407406,0.1244
random_4,600,2,0.597528774928775,0.07311794871794872
random_4,600,3,0.6008814814814815,0.07386666666666666
random_4,600,4,0.5772500451671183,0.062159349593495936
random_4,600,5,0.557554219793564,0.050697267759562875
random_5,0,1,0.22592592592592597,0.05
random_5,0,2,0.17094017094017094,0.09743589743589744
random_5,0,3,0.06703703703703696,0.025
random_5,0,4,0.05361336946702793,0.030487804878048697
random_5,0,5,0.043746205221615056,0.046994535519125746
random_5,100,1,0.34253518518518516,0.05085
random_5,100,2,0.3494688034188034,0.051714102564102575
random_5,100,3,0.26030555555555557,0.013983333333333348
random_5,100,4,0.27931187895212284,0.0196788617886179
random_5,100,5,0.302709927140255,0.014723770491803255
random_5,200,1,0.5302759259259261,0.04485
random_5,200,2,0.5314961538461539,0.0753
random_5,200,3,0.5228351851851851,0.033183333333333336
random_5,200,4,0.4932778229448961,0.012370325203252035
random_5,200,5,0.4796536429872496,0.03449480874316938
random_5,300,1,0.5177314814814815,0.09438333333333333
random_5,300,2,0.34565170940170936,0.04245
random_5,300,3,0.35749814814814823,0.04245
random_5,300,4,0.32692904245709126,0.0282
random_5,300,5,0.3088176988463874,0.02802103825136612
random_5,400,1,0.37350925925925926,0.04185
random_5,400,2,0.3700904558404559,0.04185
random_5,400,3,0.3349907407407408,0.04185
random_5,400,4,0.3857947154471545,0.02558983739837398
random_5,400,5,0.36840907710989673,0.019992076502732246
random_5,500,1,0.3834740740740741,0.23665
random_5,500,2,0.4061737891737892,0.1853679487179487
random_5,500,3,0.4115074074074074,0.12998333333333334
random_5,500,4,0.3727642276422764,0.11001910569105666
random_5,500,5,0.35797978142076503,0.12736038251366122
random_5,600,1,0.15060555555555558,0.02043333333333333
random_5,600,2,0.09949245014245009,0.0318
random_5,600,3,0.13823888888888883,0.0318
random_5,600,4,0.14092831978319775,0.013
random_5,600,5,0.1571588646023072,0.013
random_6,0,1,0.22592592592592597,0.05
random_6,0,2,0.17094017094017094,0.09743589743589744
random_6,0,3,0.06703703703703696,0.025
random_6,0,4,0.05361336946702793,0.030487804878048697
random_6,0,5,0.043746205221615056,0.046994535519125746
random_6,100,1,0.2126333333333334,0.02515
random_6,100,2,0.14996324786324783,0.047114102564102575
random_6,100,3,0.12876666666666667,0.07788333333333333
random_6,100,4,0.11799882565492315,0.025850813008130094
random_6,100,5,0.11951942926533092,0.0102
random_6,200,1,0.2843388888888889,0.0489
random_6,200,2,0.06418504273504273,0.02469230769230779
random_6,200,3,0.08312777777777781,0.0489
random_6,200,4,0.08538288166214997,0.04856097560975611
random_6,200,5,0.08440549483910147,0.0489
random_6,300,1,0.27642777777777783,0.03605
random_6,300,2,0.2616650997150997,0.0586
random_6,300,3,0.2561611111111112,0.0586
random_6,300,4,0.23794972899728994,0.0586
random_6,300,5,0.24319207650273222,0.03674207650273224
random_6,400,1,0.2654611111111111,0.06473333333333331
random_6,400,2,0.23512150997150996,0.14455
random_6,400,3,0.2303351851851852,0.0362
random_6,400,4,0.25721865401987354,0.0362
random_6,400,5,0.2475920765027323,0.0362
random_6,500,1,0.1955407407407408,0.057583333333333334
random_6,500,2,0.10665185185185182,0.026814102564102577
random_6,500,3,0.1057037037037037,0.024566666666666667
random_6,500,4,0.1471851851851852,0.04322967479674796
random_6,500,5,0.11628117789921068,0.04296311475409837
random_6,600,1,0.24247037037037045,0.08585
random_6,600,2,0.12682706552706557,0.08211666666666684
random_6,600,3,0.10280370370370363,0.09424999999999972
random_6,600,4,0.07642610659439922,0.03706951219512195
random_6,600,5,0.10450376442015787,0.08861612021857923
random_7,0,1,0.22592592592592597,0.05
random_7,0,2,0.17094017094017094,0.09743589743589744
random_7,0,3,0.06703703703703696,0.025
random_7,0,4,0.05361336946702793,0.030487804878048697
random_7,0,5,0.043746205221615056,0.046994535519125746
random_7,100,1,0.17310185185185178,0.07605
random_7,100,2,0.12027706552706545,0.07605
random_7,100,3,0.12437962962962956,0.027033333333333336
random_7,100,4,0.140779268292683,0.022480487804878057
random_7,100,5,0.14624562841530053,0.0156
random_7,200,1,0.46768703703703696,0.0546
random_7,200,2,0.41317678062678065,0.02495
random_7,200,3,0.39967592592592593,0.0254
random_7,200,4,0.3738042005420054,0.027249186991869914
random_7,200,5,0.3745150273224043,0.05390519125683061
random_7,300,1,0.2398537037037037,0.12273333333333336
random_7,300,2,0.22959729344729343,0.0798679487179487
random_7,300,3,0.2783722222222222,0.05114999999999999
random_7,300,4,0.26169661246612463,0.06610934959349592
random_7,300,5,0.29747489374620517,0.07650519125683061
random_7,400,1,0.15864074074074075,0.15541666666666668
random_7,400,2,0.13327863247863247,0.04997307692307695
random_7,400,3,0.1585777777777778,0.07718333333333333
random_7,400,4,0.12261273712737125,0.07132967479674795
random_7,400,5,0.09115865209471764,0.06013415300546448
random_7,500,1,0.05358518518518506,0.01729999999999965
random_7,500,2,0.1594481481481482,0.03235
random_7,500,3,0.1031518518518518,0.03235
random_7,500,4,0.08853857271906047,0.03235
random_7,500,5,0.07583254401942924,0.02846557377049183
random_7,600,1,0.12946111111111122,0.02225
random_7,600,2,0.17931039886039887,0.0191935897435897
random_7,600,3,0.2586722222222223,0.004416666666666669
random_7,600,4,0.2682115176151762,0.010270325203252037
random_7,600,5,0.26711393442622966,0.00039207650273224634
random_8,0,1,0.22592592592592597,0.05
random_8,0,2,0.17094017094017094,0.09743589743589744
random_8,0,3,0.06703703703703696,0.025
random_8,0,4,0.05361336946702793,0.030487804878048697
random_8,0,5,0.043746205221615056,0.046994535519125746
random_8,100,1,0.24919444444444439,0.19406666666666667
random_8,100,2,0.19677279202279202,0.060428205128205154
random_8,100,3,0.1869722222222222,0.0281
random_8,100,4,0.17418803071364042,0.0281
random_8,100,5,0.13473269581056457,0.01915
random_8,200,1,0.3724444444444444,0.08605
random_8,200,2,0.30865754985754984,0.08605
random_8,200,3,0.2756222222222221,0.07193333333333332
random_8,200,4,0.2620630532971997,0.03616097560975611
random_8,200,5,0.28049398907103834,0.06419207650273225
random_8,300,1,0.33071296296296304,0.04085
random_8,300,2,0.32273575498575496,0.09425128205128219
random_8,300,3,0.32756111111111114,0.06664999999999996
random_8,300,4,0.3201898373983739,0.09526788617886175
random_8,300,5,0.3175982088646023,0.10992868852459015
random_8,400,1,0.30283518518518515,0.13496666666666665
random_8,400,2,0.3455363247863248,0.06317179487179483
random_8,400,3,0.2814907407407407,0.08163333333333331
random_8,400,4,0.2505991418247515,0.040657723577235766
random_8,400,5,0.2436453248330297,0.08250765027322404
random_8,500,1,0.3148685185185186,0.04345
random_8,500,2,0.11201951566951569,0.01677820512820516
random_8,500,3,0.11338703703703702,0.016783333333333334
random_8,500,4,0.15009887082204154,0.027189837398373985
random_8,500,5,0.13004763205828784,0.032521038251366124
random_8,600,1,0.15637407407407405,0.0237
random_8,600,2,0.08447236467236467,1.7948717948711168e-05
random_8,600,3,0.08189629629629627,0.0237
random_8,600,4,0.05574435411020779,0.008820325203252037
random_8,600,5,0.08841997571341836,0.007584153005464486
random_9,0,1,0.22592592592592597,0.05
random_9,0,2,0.17094017094017094,0.09743589743589744
random_9,0,3,0.06703703703703696,0.025
random_9,0,4,0.05361336946702793,0.030487804878048697
random_9,0,5,0.043746205221615056,0.046994535519125746
random_9,100,1,0.18858888888888886,0.0775
random_9,100,2,0.1724709401709402,0.07634615384615386
random_9,100,3,0.1982407407407408,0.029166666666666674
random_9,100,4,0.2272922312556459,0.020060975609756088
random_9,100,5,0.18449453551912565,0.020860655737704903
random_9,200,1,0.4935685185185186,0.0619
random_9,200,2,0.5846562678062679,0.04066410256410258
random_9,200,3,0.5924055555555556,0.03685
random_9,200,4,0.5661724932249322,0.03685
random_9,200,5,0.5516134486945962,0.03685
random_9,300,1,0.4024370370370371,0.05705
random_9,300,2,0.2752532763532763,0.05705
random_9,300,3,0.2308555555555555,0.023800000000000016
random_9,300,4,0.2445077687443541,0.0102
random_9,300,5,0.2410539162112932,0.01045765027322404
random_9,400,1,0.16845370370370372,0.0804
random_9,400,2,0.16104059829059825,0.0816
random_9,400,3,0.17608333333333334,0.0816
random_9,400,4,0.15373608852755194,0.07725
random_9,400,5,0.14111891317547054,0.07725
random_9,500,1,0.2725685185185186,0.00855
random_9,500,2,0.13581638176638178,0.00855
random_9,500,3,0.19217962962962964,0.024916666666666667
random_9,500,4,0.16377854561878957,0.014510162601626018
random_9,500,5,0.12820312689738922,0.009178961748633876
random_9,600,1,0.2828833333333334,0.01545
random_9,600,2,0.2045462962962962,0.01545
random_9,600,3,0.20012037037037045,0.000899999999999998
random_9,600,4,0.2255584914182476,0.01545
random_9,600,5,0.21973822100789306,0.013526229508196735
random_10,0,1,0.22592592592592597,0.05
random_10,0,2,0.17094017094017094,0.09743589743589744
random_10,0,3,0.06703703703703696,0.025
random_10,0,4,0.05361336946702793,0.030487804878048697
random_10,0,5,0.043746205221615056,0.046994535519125746
random_10,100,1,0.2754407407407408,0.10638333333333333
random_10,100,2,0.20496837606837615,0.026464102564102573
random_10,100,3,0.14809629629629636,0.022766666666666664
random_10,100,4,0.09570243902439027,0.00965
random_10,100,5,0.11884729811778993,0.021455191256830625
random_10,200,1,0.39246481481481477,0.05033333333333333
random_10,200,2,0.4099084045584045,0.03728205128205129
random_10,200,3,0.38634629629629624,0.02366666666666667
random_10,200,4,0.3811430442637759,0.0206
random_10,200,5,0.37331162720097155,0.009671038251366124
random_10,300,1,0.2562925925925926,0.13941666666666666
random_10,300,2,0.19119059829059828,0.06416410256410257
random_10,300,3,0.19703333333333334,0.07615
random_10,300,4,0.1952330623306233,0.057232113821138214
random_10,300,5,0.19738154219793563,0.06522103825136612
random_10,400,1,0.2142222222222222,0.00775
random_10,400,2,0.1709173789173789,0.00775
random_10,400,3,0.1282962962962963,0.00775
random_10,400,4,0.15251806684733515,0.008510162601626018
random_10,400,5,0.1661126290224651,0.00575
random_10,500,1,0.07115,0.01175
random_10,500,2,0.12254059829059834,0.03056794871794872
random_10,500,3,0.06054629629629631,0.014916666666666668
random_10,500,4,0.08793563685636854,0.0005491869918699266
random_10,500,5,0.08912152398299931,0.0008210382513661237
random_10,600,1,0.25437407407407414,0.026933333333333365
random_10,600,2,0.2897017094017094,0.0286
random_10,600,3,0.2988185185185184,0.0286
random_10,600,4,0.2641301716350497,0.0286
random_10,600,5,0.2014293260473587,0.017671038251366122
random_11,0,1,0.22592592592592597,0.05
random_11,0,2,0.17094017094017094,0.09743589743589744
random_11,0,3,0.06703703703703696,0.025
random_11,0,4,0.05361336946702793,0.030487804878048697
random_11,0,5,0.043746205221615056,0.046994535519125746
random_11,100,1,0.26609814814814814,0.08225
random_11,100,2,0.28428760683760684,0.0282
random_11,100,3,0.25424629629629636,0.0282
random_11,100,4,0.24384566395663956,0.0282
random_11,100,5,0.2123619611414693,0.02785
random_11,200,1,0.4760055555555556,0.0952
random_11,200,2,0.4580599715099716,0.08416410256410257
random_11,200,3,0.4358203703703704,0.0471
random_11,200,4,0.3962178410117435,0.04671504065040649
random_11,200,5,0.3784747115968427,0.03445327868852455
random_11,300,1,0.1715,0.068
random_11,300,2,0.26246866096866095,0.10704615384615387
random_11,300,3,0.21861851851851857,0.07038333333333333
random_11,300,4,0.17389494128274618,0.03685
random_11,300,5,0.1559589556769885,0.04128961748633876
random_11,400,1,0.26278148148148145,0.1264
random_11,400,2,0.17503219373219367,0.01185
random_11,400,3,0.16468518518518513,0.04378333333333334
random_11,400,4,0.13455266485998185,0.03546056910569095
random_11,400,5,0.12160018214936244,0.017110382513661218
random_11,500,1,0.3802777777777777,0.0104
random_11,500,2,0.3289957264957265,0.0104
random_11,500,3,0.25287037037037036,0.0104
random_11,500,4,0.22490289069557357,0.0104
random_11,500,5,0.19812841530054648,0.0104
random_11,600,1,0.25117222222222224,0.02415
random_11,600,2,0.14985541310541306,0.02415
random_11,600,3,0.2452462962962963,0.02415
random_11,600,4,0.22118125564588975,0.02415
random_11,600,5,0.20429911961141461,0.00493169398907102
random_12,0,1,0.22592592592592597,0.05
random_12,0,2,0.17094017094017094,0.09743589743589744
random_12,0,3,0.06703703703703696,0.025
random_12,0,4,0.05361336946702793,0.030487804878048697
random_12,0,5,0.043746205221615056,0.046994535519125746
random_12,100,1,0.2636018518518518,0.0716
random_12,100,2,0.2020633903133903,0.02655
random_12,100,3,0.19249074074074068,0.044933333333333325
random_12,100,4,0.20002868112014444,0.02655
random_12,100,5,0.1971261384335154,0.01695519125683062
random_12,200,1,0.3418537037037036,0.08465
random_12,200,2,0.3610924501424501,0.033367948717948716
random_12,200,3,0.37317222222222224,0.03138333333333333
random_12,200,4,0.33873672086720863,0.04178983739837398
random_12,200,5,0.29286748633879783,0.0137106557377049
random_12,300,1,0.08934999999999996,0.05355
random_12,300,2,0.2737779202279203,0.07281410256410258
random_12,300,3,0.30609444444444434,0.06719999999999998
random_12,300,4,0.2531224480578138,0.05484227642276421
random_12,300,5,0.22804253187613843,0.055739617486338794
random_12,400,1,0.3293574074074073,0.07188333333333333
random_12,400,2,0.23223603988603989,0.06475
random_12,400,3,0.22702407407407404,0.06475
random_12,400,4,0.15484051490514908,0.0652
random_12,400,5,0.1379583788706739,0.06671311475409837
random_12,500,1,0.04090555555555555,0.005383333333333323
random_12,500,2,0.11782008547008546,0.036132051282051283
random_12,500,3,0.07383148148148148,0.008700000000000013
random_12,500,4,0.0854844173441735,0.011462601626016283
random_12,500,5,0.08335182149362486,0.017636885245901627
random_12,600,1,0.17134999999999995,0.0337
random_12,600,2,0.07629985754985745,0.0337
random_12,600,3,0.08079814814814812,0.0337
random_12,600,4,0.03556616982836498,0.012716260162601634
random_12,600,5,0.036363600485731645,0.015115300546448107
random_13,0,1,0.22592592592592597,0.05
random_13,0,2,0.17094017094017094,0.09743589743589744
random_13,0,3,0.06703703703703696,0.025
random_13,0,4,0.05361336946702793,0.030487804878048697
random_13,0,5,0.043746205221615056,0.046994535519125746
random_13,100,1,0.15728148148148147,0.02585
random_13,100,2,0.17524045584045578,0.025432051282051286
random_13,100,3,0.1287851851851852,0.055383333333333326
random_13,100,4,0.14331093044263776,0.05213130081300811
random_13,100,5,0.14773096539162114,0.03133961748633876
random_13,200,1,0.4165518518518518,0.026433333333333336
random_13,200,2,0.3797900284900285,0.0235
random_13,200,3,0.38092962962962956,0.026899999999999993
random_13,200,4,0.37687371273712733,0.058171138211382124
random_13,200,5,0.3462193078324225,0.05629726775956283
random_13,300,1,0.4303944444444444,0.1477
random_13,300,2,0.41330042735042727,0.0821
random_13,300,3,0.40349814814814816,0.0821
random_13,300,4,0.39395885275519427,0.04957967479674797
random_13,300,5,0.4024295385549484,0.09273715846994532
random_13,400,1,0.4961222222222223,0.1433
random_13,400,2,0.4676321937321936,0.040735897435897436
random_13,400,3,0.4257333333333333,0.05658333333333333
random_13,400,4,0.4176393857271905,0.052957723577235744
random_13,400,5,0.42401396478445647,0.06679726775956288
random_13,500,1,0.1304074074074074,0.03315
random_13,500,2,0.12163789173789184,0.03315
random_13,500,3,0.06512222222222228,0.0309
random_13,500,4,0.05374462511291787,0.03315
random_13,500,5,0.06283278688524593,0.03315
random_13,600,1,0.3953833333333333,0.0289
random_13,600,2,0.35663689458689457,0.0289
random_13,600,3,0.3331611111111112,0.0289
random_13,600,4,0.2479578590785908,0.013620325203252036
random_13,600,5,0.21614836065573773,0.02481584699453552
random_14,0,1,0.22592592592592597,0.05
random_14,0,2,0.17094017094017094,0.09743589743589744
random_14,0,3,0.06703703703703696,0.025
random_14,0,4,0.05361336946702793,0.030487804878048697
random_14,0,5,0.043746205221615056,0.046994535519125746
random_14,100,1,0.2733314814814815,0.02715
random_14,100,2,0.23766851851851856,0.042185897435897415
random_14,100,3,0.268987037037037,0.05328333333333332
random_14,100,4,0.23676192411924118,0.020420325203252036
random_14,100,5,0.20205388585306616,0.03161584699453551
random_14,200,1,0.3364314814814815,0.15735
random_14,200,2,0.2874286324786324,0.13612820512820514
random_14,200,3,0.28453518518518517,0.11766666666666664
random_14,200,4,0.27333373983739834,0.06727967479674796
random_14,200,5,0.2612200667880996,0.07794207650273224
random_14,300,1,0.30467962962962963,0.07575
random_14,300,2,0.2815719373219373,0.0755679487179487
random_14,300,3,0.23806111111111117,0.02845
random_14,300,4,0.23126336946702797,0.031439837398373985
random_14,300,5,0.24343627808136,0.03677103825136612
random_14,400,1,0.18865185185185188,0.0083
random_14,400,2,0.1122985754985755,0.0083
random_14,400,3,0.17877777777777779,0.0083
random_14,400,4,0.11778410117434504,0.0083
random_14,400,5,0.10900170006071647,0.0083
random_14,500,1,0.2637,0.0103
random_14,500,2,0.2580019943019943,0.0103
random_14,500,3,0.22814444444444446,0.0103
